,id,Nombre,Descubridor(es),Fecha,Observatorio o Sitio de observación
357,358,Apollonia,A. H. Charlois,8 de marzo de 1893,Observatorio de Niza
358,359,Georgia,A. H. Charlois,10 de marzo de 1893,Observatorio de Niza
359,360,Carlova,A. H. Charlois,11 de marzo de 1893,Observatorio de Niza
360,361,Bononia,A. H. Charlois,11 de marzo de 1893,Observatorio de Niza
361,362,Havnia,A. H. Charlois,12 de marzo de 1893,Observatorio de Niza
362,363,Padua,A. H. Charlois,17 de marzo de 1893,Observatorio de Niza
363,364,Isara,A. H. Charlois,19 de marzo de 1893,Observatorio de Niza
364,365,Corduba,A. H. Charlois,21 de marzo de 1893,Observatorio de Niza
365,366,Vincentina,A. H. Charlois,21 de marzo de 1893,Observatorio de Niza
366,367,Amicitia,A. H. Charlois,19 de mayo de 1893,Observatorio de Niza
367,368,Haidea,A. H. Charlois,19 de mayo de 1893,Observatorio de Niza
368,369,Aëria,A. L. N. Borrelly,4 de julio de 1893,Observatorio de Marsella
369,370,Modestia,A. H. Charlois,14 de julio de 1893,Observatorio de Niza
370,371,Bohemia,A. H. Charlois,16 de julio de 1893,Observatorio de Niza
371,372,Palma,A. H. Charlois,19 de agosto de 1893,Observatorio de Niza
372,373,Melusina,A. H. Charlois,15 de septiembre de 1893,Observatorio de Niza
373,374,Burgundia,A. H. Charlois,18 de septiembre de 1893,Observatorio de Niza
374,375,Ursula,A. H. Charlois,18 de septiembre de 1893,Observatorio de Niza
375,376,Geometria,A. H. Charlois,18 de septiembre de 1893,Observatorio de Niza
376,377,Campania,A. H. Charlois,20 de septiembre de 1893,Observatorio de Niza
377,378,Holmia,A. H. Charlois,6 de diciembre de 1893,Observatorio de Niza
378,379,Huenna,A. H. Charlois,8 de enero de 1894,Observatorio de Niza
379,380,Fiducia,A. H. Charlois,8 de enero de 1894,Observatorio de Niza
380,381,Myrrha,A. H. Charlois,10 de enero de 1894,Observatorio de Niza
381,382,Dodona,A. H. Charlois,29 de enero de 1894,Observatorio de Niza
382,383,Janina,A. H. Charlois,29 de enero de 1894,Observatorio de Niza
383,384,Burdigala,F. Courty,11 de febrero de 1894,Observatorio de Burdeos
384,385,Ilmatar,M. F. Wolf,1 de marzo de 1894,Observatorio de Heidelberg-Königstuhl
385,386,Siegena,M. F. Wolf,1 de marzo de 1894,Observatorio de Heidelberg-Königstuhl
386,387,Aquitania,F. Courty,5 de marzo de 1894,Observatorio de Burdeos
387,388,Charybdis,A. H. Charlois,7 de marzo de 1894,Observatorio de Niza
388,389,Industria,A. H. Charlois,8 de marzo de 1894,Observatorio de Niza
389,390,Alma,G. Bigourdan,24 de marzo de 1894,Observatorio de París
390,391,Ingeborg,M. F. Wolf,1 de noviembre de 1894,Observatorio de Heidelberg-Königstuhl
391,392,Wilhelmina,M. F. Wolf,4 de noviembre de 1894,Observatorio de Heidelberg-Königstuhl
